,price,loc,size
2015-08-19 22:16:00,2095,eby,
2015-08-19 22:15:00,2950,eby,1089.0
2015-08-19 22:15:00,1995,eby,
2015-08-19 22:15:00,1500,eby,850.0
2015-08-19 22:12:00,2600,eby,1200.0
2015-08-19 22:07:00,4500,eby,
2015-08-19 22:06:00,2650,eby,1620.0
2015-08-19 22:05:00,1825,eby,800.0
2015-08-19 22:01:00,1500,eby,
2015-08-19 22:00:00,3400,eby,
2015-08-19 22:00:00,3300,eby,
2015-08-19 21:56:00,4250,eby,
2015-08-19 21:51:00,2300,eby,
2015-08-19 21:49:00,3395,eby,1054.0
2015-08-19 21:47:00,1500,eby,
2015-08-19 21:46:00,1900,eby,
2015-08-19 21:43:00,2075,eby,
2015-08-19 21:42:00,3000,eby,850.0
2015-08-19 21:26:00,1825,eby,900.0
2015-08-19 21:25:00,2475,eby,1235.0
2015-08-19 21:23:00,750,eby,1250.0
2015-08-19 21:22:00,2950,eby,1250.0
2015-08-19 21:22:00,2950,eby,1000.0
2015-08-19 21:16:00,1700,eby,510.0
2015-08-19 21:15:00,2700,eby,1322.0
2015-08-19 21:13:00,2700,eby,3000.0
2015-08-19 21:03:00,3200,eby,1100.0
2015-08-19 20:58:00,2024,eby,939.0
2015-08-19 20:56:00,2700,eby,1350.0
2015-08-19 20:55:00,2014,eby,916.0
2015-08-19 20:54:00,1172,eby,692.0
2015-08-19 20:52:00,1797,eby,701.0
2015-08-19 20:47:00,3888,eby,
2015-08-19 20:47:00,2600,eby,1320.0
2015-08-19 20:46:00,3888,eby,
2015-08-19 20:45:00,3500,eby,
2015-08-19 20:42:00,2595,eby,1976.0
2015-08-19 20:39:00,1500,eby,
2015-08-19 20:35:00,3000,eby,1260.0
2015-08-19 20:34:00,669,eby,168.0
2015-08-19 20:30:00,3100,eby,1850.0
2015-08-19 20:30:00,1500,eby,
2015-08-19 20:30:00,3195,eby,1814.0
2015-08-19 20:29:00,3500,eby,2400.0
2015-08-19 20:17:00,2295,eby,3202.0
2015-08-19 20:17:00,2400,eby,1100.0
2015-08-19 20:15:00,2400,eby,773.0
2015-08-19 20:11:00,2995,eby,1200.0
2015-08-19 20:07:00,2650,eby,960.0
2015-08-19 20:05:00,1450,eby,884.0
2015-08-19 20:04:00,3000,eby,2384.0
2015-08-19 20:01:00,925,eby,
2015-08-19 19:59:00,2100,eby,1978.0
2015-08-19 19:57:00,3995,eby,2464.0
2015-08-19 19:57:00,2295,eby,
2015-08-19 19:52:00,2150,eby,900.0
2015-08-19 19:45:00,3300,eby,
2015-08-19 19:42:00,3300,eby,
2015-08-19 19:35:00,2950,eby,1100.0
2015-08-19 19:34:00,1700,eby,600.0
2015-08-19 19:34:00,2950,eby,1150.0
2015-08-19 19:33:00,2250,eby,
2015-08-19 19:31:00,2900,eby,900.0
2015-08-19 19:30:00,1650,eby,750.0
2015-08-19 19:28:00,3500,eby,1382.0
2015-08-19 19:25:00,2437,eby,946.0
2015-08-19 19:25:00,1200,eby,
2015-08-19 19:24:00,1250,eby,884.0
2015-08-19 19:22:00,3000,eby,
2015-08-19 19:19:00,3493,eby,1039.0
2015-08-19 19:19:00,1925,eby,
2015-08-19 19:17:00,2395,eby,1600.0
2015-08-19 19:16:00,1350,eby,1018.0
2015-08-19 19:16:00,1750,eby,
2015-08-19 19:16:00,1600,eby,
2015-08-19 19:16:00,1200,eby,
2015-08-19 19:16:00,1750,eby,
2015-08-20 09:10:00,2250,nby,
2015-08-20 09:10:00,2300,nby,
2015-08-20 09:08:00,1660,nby,559.0
2015-08-20 09:00:00,2155,nby,800.0
2015-08-20 08:59:00,2449,nby,1745.0
2015-08-20 08:54:00,2000,nby,
2015-08-20 08:54:00,2150,nby,1196.0
2015-08-20 08:53:00,1575,nby,900.0
2015-08-20 08:53:00,4200,nby,2262.0
2015-08-20 08:52:00,1725,nby,1000.0
2015-08-20 08:43:00,3800,nby,
2015-08-20 08:29:00,2500,nby,1185.0
2015-08-20 08:24:00,1850,nby,650.0
2015-08-20 08:17:00,1950,nby,
2015-08-20 08:16:00,2200,nby,
2015-08-20 07:49:00,4000,nby,2500.0
2015-08-20 07:27:00,1995,nby,880.0
2015-08-20 07:26:00,1550,nby,640.0
2015-08-20 07:13:00,1925,nby,1200.0
2015-08-20 06:58:00,3300,nby,1100.0
2015-08-20 06:24:00,1450,nby,
2015-08-20 06:20:00,5000,nby,1300.0
2015-08-20 05:40:00,2400,nby,
2015-08-20 05:27:00,1575,nby,
2015-08-20 05:24:00,2599,nby,1000.0
2015-08-20 05:16:00,3200,nby,2450.0
2015-08-20 02:44:00,7500,nby,2064.0
2015-08-20 02:44:00,24000,nby,5000.0
2015-08-20 00:48:00,11750,nby,4540.0
2015-08-20 00:31:00,1200,nby,
2015-08-20 00:24:00,2000,nby,1270.0
2015-08-20 00:21:00,2400,nby,1540.0
2015-08-20 00:07:00,4500,nby,1500.0
2015-08-20 00:04:00,6400,nby,
2015-08-19 23:58:00,1799,nby,
2015-08-19 23:43:00,1950,nby,670.0
2015-08-19 23:24:00,4150,nby,2600.0
2015-08-19 21:50:00,2950,nby,
2015-08-19 21:28:00,1700,nby,1500.0
2015-08-19 21:26:00,2300,nby,1200.0
2015-08-19 21:18:00,1800,nby,4000.0
2015-08-19 21:01:00,2150,nby,1186.0
2015-08-19 20:56:00,1750,nby,1484.0
2015-08-19 20:52:00,2150,nby,1186.0
2015-08-19 20:52:00,2395,nby,1410.0
2015-08-19 20:27:00,6900,nby,2000.0
2015-08-19 20:25:00,2795,nby,2021.0
2015-08-19 20:18:00,2250,nby,1600.0
2015-08-19 20:03:00,1775,nby,
2015-08-19 20:02:00,3500,nby,
2015-08-19 20:01:00,12500,nby,3200.0
2015-08-19 19:58:00,1600,nby,
2015-08-19 19:40:00,1813,nby,797.0
2015-08-19 19:37:00,2509,nby,846.0
2015-08-19 19:32:00,1850,nby,750.0
2015-08-19 19:28:00,3000,nby,
2015-08-19 19:26:00,3750,nby,1900.0
2015-08-19 19:25:00,3750,nby,2200.0
2015-08-19 18:55:00,2050,nby,1200.0
2015-08-19 18:54:00,1700,nby,
2015-08-19 18:51:00,2000,nby,
2015-08-19 18:51:00,13000,nby,2800.0
2015-08-19 18:51:00,6150,nby,2500.0
2015-08-19 18:50:00,8000,nby,1500.0
2015-08-19 18:49:00,8500,nby,1500.0
2015-08-19 18:38:00,1820,nby,705.0
2015-08-19 18:36:00,600,nby,600.0
2015-08-19 18:32:00,2579,nby,1111.0
2015-08-19 18:25:00,2120,nby,949.0
2015-08-19 18:20:00,3850,nby,1450.0
2015-08-19 18:16:00,2200,nby,1300.0
2015-08-19 18:14:00,3950,nby,1150.0
2015-08-19 18:11:00,2563,nby,773.0
2015-08-19 18:07:00,2473,nby,1322.0
2015-08-19 18:07:00,1854,nby,
2015-08-19 18:06:00,3350,nby,1540.0
2015-08-19 18:03:00,2475,nby,
2015-08-19 18:01:00,5000,nby,1748.0
2015-08-19 17:56:00,3791,nby,1303.0
2015-08-19 17:53:00,2645,nby,781.0
2015-08-19 17:49:00,3200,nby,1867.0
2015-08-19 17:46:00,2150,nby,
2015-08-19 17:42:00,1674,nby,
2015-08-19 17:39:00,1795,nby,675.0
2015-08-19 17:39:00,2766,nby,888.0
2015-08-19 17:33:00,1671,nby,685.0
2015-08-19 17:31:00,1634,nby,
2015-08-19 17:30:00,1705,nby,661.0
2015-08-19 17:29:00,3126,nby,
2015-08-19 17:24:00,4200,nby,
2015-08-19 17:22:00,1732,nby,1200.0
2015-08-19 17:22:00,4300,nby,2250.0
2015-08-19 17:17:00,2800,nby,
2015-08-19 17:17:00,4495,nby,1020.0
2015-08-19 17:17:00,6350,nby,2400.0
2015-08-19 17:15:00,2079,nby,
2015-08-19 17:11:00,1800,nby,950.0
2015-08-19 17:11:00,950,nby,600.0
2015-08-19 17:11:00,1450,nby,1100.0
2015-08-19 17:11:00,1450,nby,1200.0
2015-08-19 17:10:00,2675,nby,1112.0
2015-08-19 17:10:00,4195,nby,1020.0
2015-08-19 17:09:00,1700,nby,1100.0
2015-08-19 17:08:00,2400,nby,990.0
2015-08-19 17:02:00,3590,nby,1070.0
2015-08-19 17:01:00,9999,nby,2477.0
2015-08-19 17:00:00,1875,nby,
2015-08-19 17:00:00,2241,nby,804.0
